country_region_code;country_region;sub_region_1;sub_region_2;date;retail_and_recreation_percent_change_from_baseline;grocery_and_pharmacy_percent_change_from_baseline;parks_percent_change_from_baseline;transit_stations_percent_change_from_baseline;workplaces_percent_change_from_baseline;residential_percent_change_from_baseline
BR;Brazil;Federal District;;2020-02-15;10;7;-8;8;8;0
BR;Brazil;Federal District;;2020-02-16;11;6;-10;4;0;2
BR;Brazil;Federal District;;2020-02-17;2;4;-1;11;22;-2
BR;Brazil;Federal District;;2020-02-18;1;4;2;14;22;-2
BR;Brazil;Federal District;;2020-02-19;-2;0;-3;9;20;-2
BR;Brazil;Federal District;;2020-02-20;4;8;15;12;21;-3
BR;Brazil;Federal District;;2020-02-21;7;15;-1;12;22;-3
BR;Brazil;Federal District;;2020-02-22;-6;3;-13;-3;-3;0
BR;Brazil;Federal District;;2020-02-23;-6;-2;-18;-6;-7;1
BR;Brazil;Federal District;;2020-02-24;-31;-15;-16;-34;-61;12
BR;Brazil;Federal District;;2020-02-25;-39;-27;14;-35;-71;11
BR;Brazil;Federal District;;2020-02-26;-20;-7;-14;-17;-22;9
BR;Brazil;Federal District;;2020-02-27;-4;5;16;5;17;-1
BR;Brazil;Federal District;;2020-02-28;-2;7;-14;4;22;1
BR;Brazil;Federal District;;2020-02-29;1;7;-25;-5;6;4
BR;Brazil;Federal District;;2020-03-01;1;14;-26;-4;1;5
BR;Brazil;Federal District;;2020-03-02;-3;1;-15;9;22;-1
BR;Brazil;Federal District;;2020-03-03;4;11;0;11;22;-2
BR;Brazil;Federal District;;2020-03-04;2;9;1;10;22;-2
BR;Brazil;Federal District;;2020-03-05;2;10;14;10;22;-3
BR;Brazil;Federal District;;2020-03-06;8;16;-15;11;25;-3
BR;Brazil;Federal District;;2020-03-07;12;19;-18;6;8;0
BR;Brazil;Federal District;;2020-03-08;18;23;3;6;4;1
BR;Brazil;Federal District;;2020-03-09;5;13;-3;15;24;-3
BR;Brazil;Federal District;;2020-03-10;4;14;6;17;23;-4
BR;Brazil;Federal District;;2020-03-11;2;11;1;13;22;-4
BR;Brazil;Federal District;;2020-03-12;0;14;9;3;7;2
BR;Brazil;Federal District;;2020-03-13;3;17;-1;2;8;2
BR;Brazil;Federal District;;2020-03-14;-2;14;-6;-2;3;2
BR;Brazil;Federal District;;2020-03-15;-8;13;-9;-5;-1;3
BR;Brazil;Federal District;;2020-03-16;-10;11;10;-8;1;4
BR;Brazil;Federal District;;2020-03-17;-18;10;4;-13;-5;6
BR;Brazil;Federal District;;2020-03-18;-25;12;-6;-21;-13;11
BR;Brazil;Federal District;;2020-03-19;-37;16;-25;-30;-24;14
BR;Brazil;Federal District;;2020-03-20;-56;7;-44;-40;-36;20
BR;Brazil;Federal District;;2020-03-21;-70;-21;-66;-52;-43;21
BR;Brazil;Federal District;;2020-03-22;-75;-37;-77;-62;-41;21
BR;Brazil;Federal District;;2020-03-23;-68;-29;-59;-60;-52;25
BR;Brazil;Federal District;;2020-03-24;-71;-31;-62;-62;-57;27
BR;Brazil;Federal District;;2020-03-25;-71;-34;-62;-64;-59;28
BR;Brazil;Federal District;;2020-03-26;-69;-28;-56;-62;-58;27
BR;Brazil;Federal District;;2020-03-27;-66;-21;-54;-59;-55;28
BR;Brazil;Federal District;;2020-03-28;-70;-30;-66;-59;-45;23
BR;Brazil;Federal District;;2020-03-29;-68;-28;-63;-56;-36;20
BR;Brazil;Federal District;;2020-03-30;-60;-22;-46;-57;-51;23
BR;Brazil;Federal District;;2020-03-31;-61;-17;-42;-56;-52;24
BR;Brazil;Federal District;;2020-04-01;-59;-14;-41;-56;-52;24
BR;Brazil;Federal District;;2020-04-02;-59;-11;-35;-55;-52;24
BR;Brazil;Federal District;;2020-04-03;-58;-5;-42;-52;-49;24
BR;Brazil;Federal District;;2020-04-04;-61;-10;-53;-49;-38;19
BR;Brazil;Federal District;;2020-04-05;-64;-20;-62;-53;-33;17
BR;Brazil;Federal District;;2020-04-06;-55;-11;-42;-52;-47;21
BR;Brazil;Federal District;;2020-04-07;-54;-5;-43;-51;-49;20
BR;Brazil;Federal District;;2020-04-08;-53;-1;-45;-51;-49;20
BR;Brazil;Federal District;;2020-04-09;-46;20;-27;-47;-49;17
BR;Brazil;Federal District;;2020-04-10;-73;-29;-50;-64;-76;27
BR;Brazil;Federal District;;2020-04-11;-54;0;-50;-46;-38;16
BR;Brazil;Federal District;;2020-04-12;-62;-18;-59;-49;-28;13
BR;Brazil;Federal District;;2020-04-13;-52;-14;-42;-51;-46;19
BR;Brazil;Federal District;;2020-04-14;-55;-15;-43;-52;-47;20
BR;Brazil;Federal District;;2020-04-15;-56;-13;-51;-52;-48;23
BR;Brazil;Federal District;;2020-04-16;-60;-8;-69;-50;-49;24
BR;Brazil;Federal District;;2020-04-17;-56;4;-67;-42;-43;23
BR;Brazil;Federal District;;2020-04-18;-62;-11;-73;-40;-31;18
BR;Brazil;Federal District;;2020-04-19;-67;-14;-71;-40;-27;17
BR;Brazil;Federal District;;2020-04-20;-58;-10;-67;-46;-46;21
BR;Brazil;Federal District;;2020-04-21;-73;-29;-68;-59;-72;28
BR;Brazil;Federal District;;2020-04-22;-60;-12;-70;-46;-44;21
BR;Brazil;Federal District;;2020-04-23;-60;-13;-67;-47;-45;22
BR;Brazil;Federal District;;2020-04-24;-58;-4;-66;-41;-41;22
BR;Brazil;Federal District;;2020-04-25;-59;-7;-67;-35;-27;17
BR;Brazil;Federal District;;2020-04-26;-65;-14;-67;-38;-24;16
